COHORTE;PERIODO ACADEMICO CURSA;SEDE;CAMPUS;CARRERA;AREA;MODALIDAD;TIPO PROYECTOEDUCATIVO;NRO ALUMNOS
2019 - 2019;2019 - 2019;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;238
2019 - 2019;2019 - 2019;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;30
2019 - 2019;2019 - 2019;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;84
2019 - 2019;2019 - 2020;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;171
2019 - 2019;2019 - 2020;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;24
2019 - 2019;2019 - 2020;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;68
2019 - 2019;2020 - 2020;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;101
2019 - 2019;2020 - 2020;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;14
2019 - 2019;2020 - 2020;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;59
2019 - 2019;2020 - 2021;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;112
2019 - 2019;2020 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;13
2019 - 2019;2020 - 2021;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;60
2019 - 2019;2021 - 2021;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;102
2019 - 2019;2021 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;11
2019 - 2019;2021 - 2021;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;55
2019 - 2019;2021 - 2022;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;101
2019 - 2019;2021 - 2022;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;9
2019 - 2019;2021 - 2022;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;56
2019 - 2019;2022 - 2022;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;1
